Date,Description,Amount,Type,Category
2024-09-01,Rapido,-311.67,Debit,Travel
2024-09-01,Spotify,-305.44,Debit,Entertainment
2024-09-01,Salary Credit,27232.54,Credit,Income
2024-09-01,Broadband Bill,-532.69,Debit,Bills
2024-09-02,Uber,-837.0,Debit,Travel
2024-09-02,Freelance Payment,24973.24,Credit,Income
2024-09-02,Freelance Payment,23616.75,Credit,Income
2024-09-02,Salary Credit,40507.39,Credit,Income
2024-09-02,Ola,-1013.06,Debit,Travel
2024-09-02,Swiggy,-668.3,Debit,Food
2024-09-02,Freelance Payment,39875.67,Credit,Income
2024-09-03,House Rent,-10192.34,Debit,Rent
2024-09-03,Indigo Airlines,-2944.65,Debit,Travel
2024-09-03,Swiggy,-915.88,Debit,Food
2024-09-03,Ajio,-3207.63,Debit,Shopping
2024-09-04,Hotstar,-346.17,Debit,Entertainment
2024-09-04,ATM Withdrawal,-1101.79,Debit,Other
2024-09-05,BigBasket,-1033.81,Debit,Food
2024-09-05,Ajio,-685.39,Debit,Shopping
2024-09-06,Flipkart,-1322.38,Debit,Shopping
2024-09-06,Miscellaneous,-1910.16,Debit,Other
2024-09-06,Starbucks,-162.01,Debit,Food
2024-09-07,Miscellaneous,-285.02,Debit,Other
2024-09-07,Jio Recharge,-2456.59,Debit,Bills
2024-09-07,BigBasket,-422.46,Debit,Food
2024-09-07,Dominos,-927.99,Debit,Food
2024-09-08,Miscellaneous,-1740.64,Debit,Other
2024-09-08,Bookstore,-1044.85,Debit,Education
2024-09-08,Ola,-645.47,Debit,Travel
2024-09-08,Ola,-340.27,Debit,Travel
2024-09-08,Dominos,-252.71,Debit,Food
2024-09-09,Udemy,-357.85,Debit,Education
2024-09-09,Zomato,-958.69,Debit,Food
2024-09-10,Gift,-832.91,Debit,Other
2024-09-10,Reliance Digital,-2571.48,Debit,Shopping
2024-09-10,Gift,-507.61,Debit,Other
2024-09-11,Apollo Pharmacy,-4114.6,Debit,Health
2024-09-11,Hotstar,-243.54,Debit,Entertainment
2024-09-11,Gift,-1892.23,Debit,Other
2024-09-11,Gym Membership,-1826.63,Debit,Health
2024-09-12,Gift,-1066.54,Debit,Other
2024-09-12,Ajio,-3958.6,Debit,Shopping
2024-09-12,Gym Membership,-3665.41,Debit,Health
2024-09-12,Dominos,-399.36,Debit,Food
2024-09-12,Amazon,-4984.3,Debit,Shopping
2024-09-12,Spotify,-368.33,Debit,Entertainment
2024-09-13,Swiggy,-439.72,Debit,Food
2024-09-13,IRCTC,-1372.54,Debit,Travel
2024-09-13,BookMyShow,-358.24,Debit,Entertainment
2024-09-13,Ola,-2439.83,Debit,Travel
2024-09-13,Rapido,-198.17,Debit,Travel
2024-09-14,Dominos,-555.54,Debit,Food
2024-09-14,Flipkart,-4560.58,Debit,Shopping
2024-09-14,Zomato,-1143.77,Debit,Food
2024-09-15,Hotstar,-585.3,Debit,Entertainment
2024-09-15,Gift,-411.64,Debit,Other
2024-09-16,Dominos,-674.83,Debit,Food
2024-09-16,Reliance Digital,-2670.05,Debit,Shopping
2024-09-17,ATM Withdrawal,-1912.9,Debit,Other
2024-09-17,Broadband Bill,-2007.32,Debit,Bills
2024-09-17,Ajio,-4902.35,Debit,Shopping
2024-09-17,Dominos,-1179.3,Debit,Food
2024-09-17,Dominos,-544.72,Debit,Food
2024-09-17,Ola,-1468.47,Debit,Travel
2024-09-19,Uber,-1200.12,Debit,Travel
2024-09-19,Gym Membership,-1593.11,Debit,Health
2024-09-20,Swiggy,-1153.88,Debit,Food
2024-09-20,Broadband Bill,-707.69,Debit,Bills
2024-09-20,Swiggy,-790.68,Debit,Food
2024-09-20,McDonalds,-443.0,Debit,Food
2024-09-21,Spotify,-238.65,Debit,Entertainment
2024-09-21,Gym Membership,-2677.99,Debit,Health
2024-09-21,Airtel Postpaid,-1486.45,Debit,Bills
2024-09-21,Uber,-1282.39,Debit,Travel
2024-09-21,BigBasket,-845.13,Debit,Food
2024-09-22,Hotstar,-302.32,Debit,Entertainment
2024-09-22,1mg,-2906.3,Debit,Health
2024-09-22,Myntra,-5400.45,Debit,Shopping
2024-09-22,McDonalds,-301.74,Debit,Food
2024-09-23,Myntra,-3857.38,Debit,Shopping
2024-09-23,Miscellaneous,-493.33,Debit,Other
2024-09-24,Hotstar,-305.21,Debit,Entertainment
2024-09-24,Apollo Pharmacy,-1036.62,Debit,Health
2024-09-25,Spotify,-146.79,Debit,Entertainment
2024-09-25,BigBasket,-1012.27,Debit,Food
2024-09-26,Gym Membership,-832.89,Debit,Health
2024-09-26,Gift,-1093.32,Debit,Other
2024-09-26,Interest Credit,31318.58,Credit,Income
2024-09-27,BigBasket,-353.06,Debit,Food
2024-09-28,Bookstore,-1178.5,Debit,Education
2024-09-28,BigBasket,-359.73,Debit,Food
2024-09-28,Swiggy,-530.19,Debit,Food
2024-09-28,IRCTC,-2001.04,Debit,Travel
2024-09-28,Spotify,-172.47,Debit,Entertainment
2024-09-29,Amazon,-2717.54,Debit,Shopping
2024-09-29,Myntra,-1855.87,Debit,Shopping
2024-09-29,McDonalds,-948.08,Debit,Food
2024-09-29,Starbucks,-521.97,Debit,Food
2024-09-30,1mg,-3748.2,Debit,Health
2024-10-01,Salary Credit,46155.31,Credit,Income
2024-10-01,McDonalds,-715.66,Debit,Food
2024-10-02,Gift,-1583.24,Debit,Other
2024-10-02,Salary Credit,38595.28,Credit,Income
2024-10-03,Miscellaneous,-1168.07,Debit,Other
2024-10-03,House Rent,-9760.07,Debit,Rent
2024-10-04,Starbucks,-562.13,Debit,Food
2024-10-04,Broadband Bill,-777.73,Debit,Bills
2024-10-05,Ajio,-3122.51,Debit,Shopping
2024-10-06,Rapido,-1708.78,Debit,Travel
2024-10-07,Petrol Pump,-2514.67,Debit,Travel
2024-10-07,Rapido,-869.58,Debit,Travel
2024-10-07,Miscellaneous,-1799.57,Debit,Other
2024-10-07,Petrol Pump,-2234.4,Debit,Travel
2024-10-07,Jio Recharge,-2029.14,Debit,Bills
2024-10-08,IRCTC,-203.11,Debit,Travel
2024-10-08,Airtel Postpaid,-1909.74,Debit,Bills
2024-10-09,Ajio,-5648.34,Debit,Shopping
2024-10-09,Practo,-4545.82,Debit,Health
2024-10-09,Myntra,-5505.74,Debit,Shopping
2024-10-09,Broadband Bill,-2811.25,Debit,Bills
2024-10-09,Gift,-930.2,Debit,Other
2024-10-09,Petrol Pump,-587.74,Debit,Travel
2024-10-09,BookMyShow,-595.95,Debit,Entertainment
2024-10-10,IRCTC,-1887.75,Debit,Travel
2024-10-11,Ajio,-1465.43,Debit,Shopping
2024-10-11,House Rent,-12430.25,Debit,Rent
2024-10-11,BigBasket,-175.17,Debit,Food
2024-10-12,BigBasket,-686.33,Debit,Food
2024-10-12,Ajio,-5604.39,Debit,Shopping
2024-10-12,Zomato,-682.63,Debit,Food
2024-10-12,Broadband Bill,-1085.35,Debit,Bills
2024-10-12,Reliance Digital,-3387.72,Debit,Shopping
2024-10-13,Amazon,-4013.46,Debit,Shopping
2024-10-13,Amazon (Large),-36108.24,Debit,Shopping
2024-10-13,Ajio,-2490.82,Debit,Shopping
2024-10-14,Jio Recharge,-2594.58,Debit,Bills
2024-10-14,Amazon,-4727.25,Debit,Shopping
2024-10-15,Udemy,-1377.23,Debit,Education
2024-10-16,Petrol Pump,-2849.76,Debit,Travel
2024-10-16,Apollo Pharmacy,-1323.92,Debit,Health
2024-10-17,Starbucks,-313.82,Debit,Food
2024-10-17,Dominos,-864.95,Debit,Food
2024-10-17,Airtel Postpaid,-1074.58,Debit,Bills
